Identifier,industry_raw,sector
EVNV.VI,"electric power generation, transmission and distribution",Utilities
OMVV.VI,petroleum industry,Energy
STRV.VI,construction,Industrials
UCB.BR,pharmaceutical industry,Health Care
ALVG.DE,insurance industry,Financials
BYWGnx.DE,retail,Consumer Discretionary
DBKGn.DE,financial services,Financials
KRNG.DE,industrial sector,Industrials
LEIG.DE,industrial manufacturing,Industrials
G1AG.DE,food industry,Consumer Staples
PSHG_p.DE,holding company,Financials
TUI1n.DE,tourism industry,Consumer Discretionary
RWEG.DE,energy supply,Other
TKAG.DE,iron and steel industry,Materials
CIEA.MC,automotive industry,Consumer Discretionary
IDR.MC,IT service management,Other
ANA.MC,sporting activities,Other
ELE.MC,energy supply,Other
FAE.MC,pharmaceutical industry,Health Care
IBE.MC,electricity supply company,Utilities
MAP.MC,insurance,Financials
SCYR.MC,construction company,Industrials
TPT.L,retail,Consumer Discretionary
PROFb.ST,metal industry,Materials
CHBE.PA,construction of pleasure boats,Industrials
AM.PA,aerospace industry,Industrials
FOUG.PA,public works,Other
OREP.PA,wholesale trade (inter-company trade) of perfumery and beauty products,Other
MANP.PA,manufacture of lifting and handling equipment,Industrials
MWDP.PA,capital participation,Other
LAGA.PA,media industry,Communication
ALEXA.PA,pulp and paper industry,Materials
JEN.BR,laundry,Other
RCOP.PA,spirits industry,Other
ADEN.S,human resource management,Other
KGH.WA,mining,Materials
AHT.L,equipment rental,Other
BWY.L,house-building,Other
CLDN.L,other credit granting,Financials
CBRO.L,financial services,Financials
CPG.L,food service,Consumer Staples
CRDA.L,chemical industry,Materials
DGE.L,beverage industry,Consumer Staples
INCH.L,automotive industry,Consumer Discretionary
KGF.L,retail,Consumer Discretionary
LWDB.L,stock market,Other
HHFGn.DE,logistics,Industrials
MNKS.L,investment management,Financials
NXT.L,retail,Consumer Discretionary
OXIG.L,industrial sector,Industrials
SPL1.WA,banking,Financials
PRU.L,insurance industry,Financials
SJP.L,finance,Financials
NWG.L,financial services,Financials
