variable,scored_mean,scored_n,unscored_mean,unscored_n,difference,standardised_difference,se,per_sd
ln_mcap,21.32752287488882,2102,19.544233827210938,1301.0,1.7832890476778829,1.2665697582620399,,
ln_assets,21.84216075553328,2051,19.890373621890724,1297.0,1.9517871336425543,1.077337640554772,,
ln_revenue,20.818884435011604,1861,18.69593020304217,1141.0,2.122954231969434,1.0720130050441081,,
roa,0.035133885505245536,2051,0.018021435534530193,1297.0,0.017112449970715343,0.09335975486305463,,
leverage,0.24733850503378343,2050,0.2133956376466748,1295.0,0.03394286738710864,0.1653005043293025,,
firm_age,37.95604938271605,2025,26.99923896499239,1314.0,10.956810417723663,0.3742245678860322,,
free_float,66.68110951492537,2144,45.147286930983846,1362.0,21.53382258394152,0.7376005380160652,,
logit: ln_mcap,,2952,,,0.5970180895488867,2.2621005533916882e-18,0.06828218969329054,1.0377607989817386
logit: ln_assets,,2952,,,0.5433562193093552,6.155242549043636e-21,0.05788199678082237,1.1212769042107094
logit: roa,,2952,,,-0.05685344118592018,0.8574466104235595,0.31651102858431335,-0.009000857816370719
logit: leverage,,2952,,,0.6458391519153199,0.034813932687429223,0.3060100683954129,0.13040185086744727
logit: firm_age,,2952,,,0.0038594197587866375,0.07337497155077581,0.0021555088548808514,0.12008139692241684
logit: free_float,,2952,,,0.01801369302719175,2.9476558602743616e-17,0.0021321461401503533,0.5426669610887004
