panel,variable,rating,rating_resource_use,rating_innovation,rating_emissions_theme,rating_pillar,ln_mcap,ln_assets,ln_revenue,roa,leverage,firm_age,free_float,ln_scope12,ln_scope12_per_revenue,vif
correlation,rating,1.0,0.827,0.846,0.585,0.92,0.522,0.549,0.547,-0.01,0.169,0.114,-0.036,0.334,0.145,
correlation,rating_resource_use,0.827,1.0,0.401,0.678,0.846,0.513,0.507,0.59,0.014,0.236,0.085,-0.051,0.329,0.084,
correlation,rating_innovation,0.846,0.401,1.0,0.312,0.699,0.367,0.412,0.319,-0.03,0.052,0.106,-0.01,0.231,0.145,
correlation,rating_emissions_theme,0.585,0.678,0.312,1.0,0.781,0.446,0.464,0.495,0.052,0.185,0.054,-0.003,0.179,-0.039,
correlation,rating_pillar,0.92,0.846,0.699,0.781,1.0,0.548,0.569,0.591,0.012,0.207,0.11,-0.033,0.377,0.161,
correlation,ln_mcap,0.522,0.513,0.367,0.446,0.548,1.0,0.846,0.743,0.143,0.046,0.145,0.108,0.468,0.093,
correlation,ln_assets,0.549,0.507,0.412,0.464,0.569,0.846,1.0,0.823,-0.018,0.139,0.138,0.042,0.502,0.24,
correlation,ln_revenue,0.547,0.59,0.319,0.495,0.591,0.743,0.823,1.0,0.042,0.207,0.135,-0.052,0.724,0.216,
correlation,roa,-0.01,0.014,-0.03,0.052,0.012,0.143,-0.018,0.042,1.0,-0.192,0.049,0.083,-0.043,-0.094,
correlation,leverage,0.169,0.236,0.052,0.185,0.207,0.046,0.139,0.207,-0.192,1.0,-0.075,-0.113,0.136,0.102,
correlation,firm_age,0.114,0.085,0.106,0.054,0.11,0.145,0.138,0.135,0.049,-0.075,1.0,0.022,0.138,0.109,
correlation,free_float,-0.036,-0.051,-0.01,-0.003,-0.033,0.108,0.042,-0.052,0.083,-0.113,0.022,1.0,-0.047,-0.1,
correlation,ln_scope12,0.334,0.329,0.231,0.179,0.377,0.468,0.502,0.724,-0.043,0.136,0.138,-0.047,1.0,0.83,
correlation,ln_scope12_per_revenue,0.145,0.084,0.145,-0.039,0.161,0.093,0.24,0.216,-0.094,0.102,0.109,-0.1,0.83,1.0,
variance inflation,rating,,,,,,,,,,,,,,,1.5146050473425985
variance inflation,ln_mcap,,,,,,,,,,,,,,,3.981681528633227
variance inflation,ln_assets,,,,,,,,,,,,,,,4.074554846395019
variance inflation,roa,,,,,,,,,,,,,,,1.12528660063969
variance inflation,leverage,,,,,,,,,,,,,,,1.1147905497117128
variance inflation,firm_age,,,,,,,,,,,,,,,1.0365151762476208
variance inflation,free_float,,,,,,,,,,,,,,,1.0397396381282422
