outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating,0.016188438784644404,0.005156956297403564,3.139146009981701,0.0016944099746141542,1789,0.3103088663622857,ln_mcap,country_group,no
ln_scope12,rating,0.016731148331568822,0.0025769432626245366,6.492633568706774,8.434867696787669e-11,1789,0.5817639020811285,ln_mcap,"country_group, sector",no
ln_scope3,rating,0.029590763237110688,0.0026547277460734304,11.146439886680643,7.452892787090523e-29,1692,0.4128040016644434,ln_mcap,country_group,no
ln_scope3,rating,0.027830467878446494,0.0017816808693315645,15.620343888458367,5.2919443529380825e-55,1692,0.5307177805405974,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating,0.012116999859991972,0.004185296791237845,2.895135151552357,0.00378995317772868,1554,0.11707096707995646,ln_mcap,country_group,no
ln_scope12_per_revenue,rating,0.007086591861024914,0.0028480853955166526,2.4881950071372008,0.012839331035980147,1554,0.3776857066314401,ln_mcap,"country_group, sector",no
ln_scope3_per_revenue,rating,0.020069272131257858,0.00202163235228059,9.927261061398156,3.168389386333774e-23,1474,0.10097442994101946,ln_mcap,country_group,no
ln_scope3_per_revenue,rating,0.01861947883283831,0.001948539538876794,9.555607397923897,1.228610853156149e-21,1474,0.22944232289493682,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating,0.004131423092779553,0.005623887126411122,0.7346205569058097,0.46257061484980655,1705,0.067563109424151,ln_mcap,country_group,no
ln_scope12_per_assets,rating,0.00812217533486023,0.002659669658923449,3.0538286240208614,0.0022594111051307017,1705,0.5689563911306628,ln_mcap,"country_group, sector",no
ln_scope3_per_assets,rating,0.016497297751959815,0.0031549367422742287,5.229042323069773,1.7039035921406819e-07,1622,0.08312410005137372,ln_mcap,country_group,no
ln_scope3_per_assets,rating,0.01820741817939699,0.0021067787595807556,8.642301948696419,5.509159950581083e-18,1622,0.31183952919034297,ln_mcap,"country_group, sector",no
