outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12_per_revenue,rating,0.007086591861024914,0.0028480853955166526,2.4881950071372008,0.012839331035980147,1554,0.3776857066314401,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue_sector_demeaned,rating,0.006707451938218033,0.0029432311703890012,2.2789415951080465,0.02267053738255324,1554,0.11893242400853177,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating,0.00812217533486023,0.002659669658923449,3.0538286240208614,0.0022594111051307017,1705,0.5689563911306628,ln_mcap,"country_group, sector",no
ln_scope12_per_assets_sector_demeaned,rating,0.007293377270250133,0.00279619560071544,2.6083215596162286,0.009098743651127006,1705,0.11286938338906216,ln_mcap,"country_group, sector",no
ln_scope12_per_employees,rating,0.0032810087491191896,0.002055066737287915,1.596546082707347,0.11036692572887591,1650,0.4919021300023618,ln_mcap,"country_group, sector",no
ln_scope12_per_employees_sector_demeaned,rating,0.0029702202064256977,0.0020283995276336015,1.464317145592543,0.143107314598795,1650,0.14103081072018642,ln_mcap,"country_group, sector",no
ln_scope12_per_ev,rating,0.014810236076885428,0.002751558628754133,5.3824897358597426,7.346256717805627e-08,1762,0.4905047601321598,ln_mcap,"country_group, sector",no
ln_scope12_per_ev_sector_demeaned,rating,0.014246536799766655,0.002845792804530464,5.006175002300363,5.552228180863514e-07,1762,0.15632251833643662,ln_mcap,"country_group, sector",no
ln_scope12_per_energy,rating,0.0011715901598922242,0.0017868738853127123,0.655664716755984,0.5120398755039521,1596,0.2567555180870297,ln_mcap,"country_group, sector",no
ln_scope12_per_energy_sector_demeaned,rating,0.001054963421369294,0.0016944890903529681,0.622584959310385,0.5335572975737471,1596,0.09317701051673766,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating,0.012116999859991972,0.004185296791237845,2.895135151552357,0.00378995317772868,1554,0.11707096707995646,ln_mcap,country_group,no
ln_scope12_per_assets,rating,0.004131423092779553,0.005623887126411122,0.7346205569058097,0.46257061484980655,1705,0.067563109424151,ln_mcap,country_group,no
ln_scope12_per_employees,rating,0.006906268100185287,0.003597369968570611,1.9198103504848691,0.05488185899193892,1650,0.09136190528655308,ln_mcap,country_group,no
ln_scope12_per_ev,rating,0.014045983651233423,0.0052807303926265025,2.659856233305504,0.007817401213703227,1762,0.12013689371709513,ln_mcap,country_group,no
ln_scope12_per_energy,rating,0.003565947716116369,0.0018117791739886051,1.9682021778989698,0.04904477979074385,1596,0.07434303304484857,ln_mcap,country_group,no
