outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating,0.016731148331568822,0.0025769432626245366,6.492633568706774,8.434867696787669e-11,1789,0.5817639020811285,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating,0.007086591861024914,0.0028480853955166526,2.4881950071372008,0.012839331035980147,1554,0.3776857066314401,ln_mcap,"country_group, sector",no
ln_scope12,rating_resource_use,0.010989737979316324,0.0024321159070116445,4.518591382768217,6.225240432240336e-06,1789,0.5755997049968877,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_resource_use,0.0023324030946554053,0.0021252479760661487,1.0974733870692597,0.2724345081829417,1554,0.37384300448824614,ln_mcap,"country_group, sector",no
ln_scope12,rating_innovation,0.009551672109687577,0.0017544499877988943,5.44425442509818,5.2022819058079455e-08,1789,0.5778458686258996,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_innovation,0.0052314557967795515,0.0019106719689983185,2.7380188130996523,0.00618105399112783,1554,0.3784799467175124,ln_mcap,"country_group, sector",no
ln_scope12,rating_emissions_theme,0.0049736338652231395,0.0026452140715361753,1.8802386992954272,0.06007555357854753,1789,0.5700948198571987,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_emissions_theme,-0.005249380163906408,0.0028109856730957707,-1.8674517675948186,0.061838526360775296,1554,0.3756757966544668,ln_mcap,"country_group, sector",no
ln_scope12,rating_three_theme,0.01821454398881555,0.0028909417245744718,6.300557300751753,2.965773436971802e-10,1789,0.5795893203078515,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_three_theme,0.004238914547544258,0.0034503696399052017,1.2285392551914298,0.21924460268871981,1554,0.3743713010826871,ln_mcap,"country_group, sector",no
ln_scope12,rating_pca,0.37672347551892843,0.05807711573428546,6.486607861907511,8.77904369218644e-11,1789,0.5817711262452635,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_pca,0.1577751831149227,0.0639779889344584,2.466085379403749,0.01365987699785423,1554,0.3775886980392217,ln_mcap,"country_group, sector",no
ln_scope12,rating_pillar,0.018941494949292863,0.002640687002233005,7.172942091688885,7.340290788822825e-13,1789,0.5816155215131613,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_pillar,0.00652553865582141,0.0027470119958391092,2.3755042445048016,0.01752499084125923,1554,0.3761017866996318,ln_mcap,"country_group, sector",no
ln_scope12,rating_esg,0.029692457410573244,0.0027602657922903466,10.757100817430974,5.486927140272939e-27,1789,0.5855317929765946,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_esg,0.00818862924154608,0.0022276127351099836,3.6759662541351843,0.0002369508459357882,1554,0.3757226623710187,ln_mcap,"country_group, sector",no
ln_scope12,rating_resource_use,0.008680406812239605,0.0023722730856170133,3.6591094275227114,0.0002530932587072977,1789,0.58177113275397,ln_mcap | both themes entered jointly,"country_group, sector",no
ln_scope12,rating_innovation,0.008169329250009754,0.0016794691235682737,4.864233069467118,1.149014557261221e-06,1789,0.58177113275397,ln_mcap | both themes entered jointly,"country_group, sector",no
ln_scope12,equality test: resource use = innovation,0.0005110775622298516,0.0030764576516263843,0.1661253363782427,0.8680583156434513,1789,0.58177113275397,difference between the two theme coefficients,"country_group, sector",no
ln_scope12_per_revenue,rating_resource_use,0.0010586388982732069,0.001942305697995575,0.5450423686475838,0.5857243781522748,1554,0.3785965387394413,ln_mcap | both themes entered jointly,"country_group, sector",no
ln_scope12_per_revenue,rating_innovation,0.005081492598697042,0.0018461579624718498,2.752469020523765,0.0059147742321989565,1554,0.3785965387394413,ln_mcap | both themes entered jointly,"country_group, sector",no
ln_scope12_per_revenue,equality test: resource use = innovation,-0.004022853700423835,0.0025124062997357115,-1.6011955155688842,0.10933362178609249,1554,0.3785965387394413,difference between the two theme coefficients,"country_group, sector",no
correlation between themes,"resource use, innovation",0.4010004042777693,,,,2151,,,,
