outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating,0.016188438784644404,0.005156956297403564,3.139146009981701,0.0016944099746141542,1789,0.3103088663622857,ln_mcap,country_group,no
ln_scope12,rating,0.016731148331568822,0.0025769432626245366,6.492633568706774,8.434867696787669e-11,1789,0.5817639020811285,ln_mcap,"country_group, sector",no
ln_scope12,rating,0.01734451447495206,0.002116492270389424,8.194934003591118,2.507306937364095e-16,1789,0.626784231797538,ln_mcap,"country_group, business_sector",no
ln_scope12,rating,0.002268318707425605,0.0036360426893644144,0.6238427051641989,0.5327308906800992,277,0.5564827915279618,ln_mcap | carbon intensive,"country_group, sector",no
ln_scope12,rating,0.018578527880158967,0.002525323657281465,7.35688980958541,1.8824461247652297e-13,1512,0.5167816910789149,ln_mcap | other sectors,"country_group, sector",no
ln_scope12,rating_x_intensive,0.004795418536296661,0.005055549295493577,0.9485455004011548,0.3428518207883131,1789,0.4300011946497603,interaction with carbon-intensive sector,country_group,no
ln_scope12,rating_x_sector_intensity,-0.0006313582452864705,0.0011594508526367082,-0.5445321324752129,0.5860753428938785,1789,0.5405461659786577,interaction with sector carbon intensity,country_group,no
ln_scope12_per_revenue,rating,0.012116999859991972,0.004185296791237845,2.895135151552357,0.00378995317772868,1554,0.11707096707995646,ln_mcap,country_group,no
ln_scope12_per_revenue,rating,0.007086591861024914,0.0028480853955166526,2.4881950071372008,0.012839331035980147,1554,0.3776857066314401,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating,0.00782810057944625,0.002343445745442975,3.3404232185313623,0.0008365080770062351,1554,0.4521223943731538,ln_mcap,"country_group, business_sector",no
ln_scope12_per_revenue,rating,-0.0062383072603079525,0.005008854976321068,-1.2454557558162522,0.2129642692885555,259,0.1944956760252904,ln_mcap | carbon intensive,"country_group, sector",no
ln_scope12_per_revenue,rating,0.009211062621307891,0.002664006991970511,3.457597014223547,0.0005450159703330753,1295,0.24267394535426767,ln_mcap | other sectors,"country_group, sector",no
ln_scope12_per_revenue,rating_x_intensive,-0.008947209356844123,0.004679401706677198,-1.9120413073485536,0.055870896009730005,1554,0.28289366119336556,interaction with carbon-intensive sector,country_group,no
ln_scope12_per_revenue,rating_x_sector_intensity,-0.0026375915723714826,0.0010224541446893609,-2.5796673484783303,0.009889552833122608,1554,0.37211700286283167,interaction with sector carbon intensity,country_group,no
