RIC,ISIN,Company Common Name,Country of Headquarters,Country of Exchange,TRBC Economic Sector Name,TRBC Economic Sector Code,TRBC Business Sector Name,TRBC Business Sector Code,TRBC Industry Group Name,TRBC Industry Group Code,TRBC Industry Name,TRBC Industry Code,TRBC Activity Name,TRBC Activity Code,Organization Founded Year
SYN0000.X,SY0000000000,Synthetic Firm 0000,Belgium,Belgium,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2004.0
SYN0001.X,SY0000000001,Synthetic Firm 0001,Ireland,Ireland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1968.0
SYN0002.X,SY0000000002,Synthetic Firm 0002,Iceland,Iceland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2010.0
SYN0003.X,SY0000000003,Synthetic Firm 0003,France,France,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1973.0
SYN0004.X,SY0000000004,Synthetic Firm 0004,Sweden,Sweden,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,0.0
SYN0005.X,SY0000000005,Synthetic Firm 0005,France,France,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,2013.0
SYN0006.X,SY0000000006,Synthetic Firm 0006,Spain,Spain,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2025.0
SYN0007.X,SY0000000007,Synthetic Firm 0007,United Kingdom,United Kingdom,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1943.0
SYN0008.X,SY0000000008,Synthetic Firm 0008,Sweden,Sweden,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,1954.0
SYN0009.X,SY0000000009,Synthetic Firm 0009,Sweden,Sweden,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1975.0
