variable,scored_mean,scored_n,unscored_mean,unscored_n,difference,standardised_difference,se
ln_mcap,21.34753885101509,2151,19.524332339754288,1431.0,1.8232065112608034,1.0414386768553756,
ln_assets,21.874022647628443,2151,19.881231489080577,1431.0,1.9927911585478668,0.9780607638665934,
ln_revenue,21.074168532460362,1810,18.652948162990292,1227.0,2.4212203694700705,1.0327041855010974,
roa,0.031604973474147105,2151,0.027776235127410086,1431.0,0.0038287383467370192,0.03133155333925379,
leverage,0.2566268204592787,2151,0.2464385435293205,1431.0,0.010188276929958218,0.05774737804067463,
firm_age,42.737126042177536,2039,34.193975018368846,1361.0,8.54315102380869,0.3287983911834985,
free_float,65.31940528408643,2151,44.730082268005496,1431.0,20.589323016080932,0.8079384380776853,
logit: ln_mcap,,3400,,,0.2384969228378574,7.600247824804738e-06,0.05328175543361672
logit: ln_assets,,3400,,,0.3007848892398944,3.4417058948822824e-11,0.04539248349576061
logit: roa,,3400,,,-0.24058033934484066,0.5161471783802627,0.37052500103721575
logit: leverage,,3400,,,-0.3607662255419162,0.14740676359278562,0.2490185662805478
logit: firm_age,,3400,,,0.009059429775198274,1.2618320251702852e-07,0.0017144034251156029
logit: free_float,,3400,,,0.028370048985991127,7.158389401934923e-56,0.0018015723978652867
