panel,variable,rating,rating_resource_use,rating_innovation,rating_emissions_theme,rating_pillar,ln_mcap,ln_assets,ln_revenue,roa,leverage,firm_age,free_float,ln_scope12,ln_scope12_per_revenue,vif
correlation,rating,1.0,0.834,0.827,0.57,0.925,0.511,0.532,0.494,0.001,0.13,0.12,0.084,0.321,-0.016,
correlation,rating_resource_use,0.834,1.0,0.379,0.476,0.772,0.408,0.43,0.4,-0.014,0.129,0.071,0.06,0.255,0.011,
correlation,rating_innovation,0.827,0.379,1.0,0.47,0.765,0.441,0.454,0.42,0.015,0.087,0.129,0.08,0.275,-0.037,
correlation,rating_emissions_theme,0.57,0.476,0.47,1.0,0.528,0.306,0.307,0.301,-0.02,0.081,0.051,0.055,0.169,-0.023,
correlation,rating_pillar,0.925,0.772,0.765,0.528,1.0,0.454,0.474,0.452,0.003,0.135,0.098,0.092,0.292,-0.008,
correlation,ln_mcap,0.511,0.408,0.441,0.306,0.454,1.0,0.844,0.801,0.155,0.035,0.011,0.157,0.44,-0.188,
correlation,ln_assets,0.532,0.43,0.454,0.307,0.474,0.844,1.0,0.818,-0.006,0.12,0.17,-0.026,0.479,-0.159,
correlation,ln_revenue,0.494,0.4,0.42,0.301,0.452,0.801,0.818,1.0,0.008,0.019,0.042,-0.025,0.703,-0.047,
correlation,roa,0.001,-0.014,0.015,-0.02,0.003,0.155,-0.006,0.008,1.0,-0.212,-0.004,-0.031,-0.086,-0.117,
correlation,leverage,0.13,0.129,0.087,0.081,0.135,0.035,0.12,0.019,-0.212,1.0,-0.041,-0.017,0.15,0.2,
correlation,firm_age,0.12,0.071,0.129,0.051,0.098,0.011,0.17,0.042,-0.004,-0.041,1.0,-0.036,0.035,0.033,
correlation,free_float,0.084,0.06,0.08,0.055,0.092,0.157,-0.026,-0.025,-0.031,-0.017,-0.036,1.0,-0.024,-0.011,
correlation,ln_scope12,0.321,0.255,0.275,0.169,0.292,0.44,0.479,0.703,-0.086,0.15,0.035,-0.024,1.0,0.678,
correlation,ln_scope12_per_revenue,-0.016,0.011,-0.037,-0.023,-0.008,-0.188,-0.159,-0.047,-0.117,0.2,0.033,-0.011,0.678,1.0,
variance inflation,rating,,,,,,,,,,,,,,,1.4513316856944454
variance inflation,ln_mcap,,,,,,,,,,,,,,,4.864495920856032
variance inflation,ln_assets,,,,,,,,,,,,,,,4.8443964559926584
variance inflation,roa,,,,,,,,,,,,,,,1.1585551267652294
variance inflation,leverage,,,,,,,,,,,,,,,1.0830127739580784
variance inflation,firm_age,,,,,,,,,,,,,,,1.1256213228104408
variance inflation,free_float,,,,,,,,,,,,,,,1.1648114080505605
