outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating,0.01838888696965152,0.0028607125520647043,6.428079240740017,1.2922637694446637e-10,1892,0.21806097755226828,ln_mcap,country_group,no
ln_scope12,rating,0.01845253022196166,0.002987446403093597,6.176689966003564,6.54594365417391e-10,1892,0.22114014968085638,ln_mcap,"country_group, sector",no
ln_scope3,rating,0.015089608616697758,0.0028568989163904454,5.281813973230371,1.2791104325970966e-07,1831,0.216517762207178,ln_mcap,country_group,no
ln_scope3,rating,0.01506208890028919,0.0028744689612200014,5.239955311222577,1.6061548806798446e-07,1831,0.22024885910987668,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating,0.00970011247823581,0.003416988852504135,2.8387896176854945,0.004528500313778268,1593,0.054770227609281075,ln_mcap,country_group,no
ln_scope12_per_revenue,rating,0.009694242706118723,0.0035293895371861328,2.746719398348879,0.00601946102306948,1593,0.05701876019307062,ln_mcap,"country_group, sector",no
ln_scope3_per_revenue,rating,0.007253066527922951,0.002884180459601785,2.514775559128631,0.011910818208350198,1533,0.05176552908322063,ln_mcap,country_group,no
ln_scope3_per_revenue,rating,0.007147564147919938,0.0029058606166816937,2.4597064659219607,0.01390506913450241,1533,0.05545712569164862,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating,0.006763146342685572,0.0030334280783483572,2.22953904559622,0.025778060377513554,1892,0.024998311393738093,ln_mcap,country_group,no
ln_scope12_per_assets,rating,0.006781993033785079,0.0031237329606174373,2.171118056277304,0.02992224947380135,1892,0.029763948195430157,ln_mcap,"country_group, sector",no
ln_scope3_per_assets,rating,0.0036701183880425217,0.002940406008762677,1.2481672181002337,0.21196982633793982,1831,0.02539243283901782,ln_mcap,country_group,no
ln_scope3_per_assets,rating,0.0036097105054523583,0.002965621615000586,1.2171851213903582,0.22353378980549,1831,0.030264365986953923,ln_mcap,"country_group, sector",no
