outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12_per_revenue,rating,0.009694242706118723,0.0035293895371861328,2.746719398348879,0.00601946102306948,1593,0.05701876019307062,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue_sector_demeaned,rating,0.009614664976186266,0.0035481748918610345,2.7097494540759035,0.006733405027002796,1593,0.057694605313192704,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating,0.006781993033785079,0.0031237329606174373,2.171118056277304,0.02992224947380135,1892,0.029763948195430157,ln_mcap,"country_group, sector",no
ln_scope12_per_assets_sector_demeaned,rating,0.006488404400699084,0.0031581106793058572,2.054520901758014,0.03992530249612405,1892,0.028932889404318263,ln_mcap,"country_group, sector",no
ln_scope12_per_employees,rating,0.010545649251165686,0.0031110416934705346,3.389748608415931,0.0006995674433786987,1892,0.025715768978374576,ln_mcap,"country_group, sector",no
ln_scope12_per_employees_sector_demeaned,rating,0.010328742488875869,0.0031249130195250448,3.3052895950511076,0.0009487831135861984,1892,0.025045717420908442,ln_mcap,"country_group, sector",no
ln_scope12_per_ev,rating,0.01751405251020871,0.0030127308623023336,5.813347859697114,6.123562620353712e-09,1892,0.0504626954985542,ln_mcap,"country_group, sector",no
ln_scope12_per_ev_sector_demeaned,rating,0.017210269532566515,0.003050146809440841,5.642439727588568,1.6765723670353806e-08,1892,0.04811079174485722,ln_mcap,"country_group, sector",no
ln_scope12_per_energy,rating,0.0016104471906095855,0.0024068482509905322,0.6691103977771802,0.5034250576879946,1586,0.055866699234483064,ln_mcap,"country_group, sector",no
ln_scope12_per_energy_sector_demeaned,rating,0.0014621211534392338,0.0023640369138856684,0.6184849081040814,0.5362557431038746,1586,0.05969884075993237,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating,0.00970011247823581,0.003416988852504135,2.8387896176854945,0.004528500313778268,1593,0.054770227609281075,ln_mcap,country_group,no
ln_scope12_per_assets,rating,0.006763146342685572,0.0030334280783483572,2.22953904559622,0.025778060377513554,1892,0.024998311393738093,ln_mcap,country_group,no
ln_scope12_per_employees,rating,0.010398973496447556,0.002968231905815245,3.503423528355143,0.0004593185182904244,1892,0.02075814781323604,ln_mcap,country_group,no
ln_scope12_per_ev,rating,0.017396533028720972,0.002886598398558866,6.026655123693754,1.6738765164756502e-09,1892,0.046608690822457444,ln_mcap,country_group,no
ln_scope12_per_energy,rating,0.0017353847525769079,0.0022936468964139104,0.7566050185362713,0.44928653380535366,1586,0.05030026302743662,ln_mcap,country_group,no
