outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating,0.01845253022196166,0.002987446403093597,6.176689966003564,6.54594365417391e-10,1892,0.22114014968085638,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating,0.009694242706118723,0.0035293895371861328,2.746719398348879,0.00601946102306948,1593,0.05701876019307062,ln_mcap,"country_group, sector",no
ln_scope12,rating_resource_use,0.011066096021888237,0.001987484707045187,5.567889897548097,2.578426552420635e-08,1892,0.21548029809518732,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_resource_use,0.007949621500048763,0.0020865633189489554,3.8099114596019783,0.00013901656818689768,1593,0.05772003808697046,ln_mcap,"country_group, sector",no
ln_scope12,rating_innovation,0.01190601660087012,0.002946196304880534,4.041148439819559,5.319007509235859e-05,1892,0.21634220127085912,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_innovation,0.004027028674409132,0.0030314914935059777,1.3283984741622339,0.1840465032713129,1593,0.05171181281864623,ln_mcap,"country_group, sector",no
ln_scope12,rating_emissions_theme,0.00484717092383729,0.0017590650658371035,2.7555381651164903,0.005859566804471125,1892,0.20883260597336817,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_emissions_theme,0.0029456707885750963,0.001993236644479123,1.4778329491051803,0.1394524968025294,1593,0.050784478089918705,ln_mcap,"country_group, sector",no
ln_scope12,rating_three_theme,0.01634525440805577,0.002720738599621082,6.007653366748345,1.8822772679644796e-09,1892,0.21721089276623684,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_three_theme,0.00881933481893415,0.0034416390519754502,2.562539152347188,0.010390987110994041,1593,0.05522647991256657,ln_mcap,"country_group, sector",no
ln_scope12,rating_pca,0.3611932194402562,0.05865370277688536,6.158063384577957,7.363988420132457e-10,1892,0.22114881215349724,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_pca,0.18899109840069267,0.06922247970371848,2.7301983287741205,0.006329623374257167,1593,0.05696599342933917,ln_mcap,"country_group, sector",no
ln_scope12,rating_pillar,0.015433102624757018,0.0029581987723751846,5.217060722517147,1.8178467913408016e-07,1892,0.21900421319672292,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_pillar,0.00829905142743161,0.0033976984460283724,2.4425509088755395,0.014583872549569847,1593,0.056111119095684336,ln_mcap,"country_group, sector",no
ln_scope12,rating_esg,0.01591796240532726,0.00293442774628999,5.424554216900521,5.8099353813181963e-08,1892,0.21441870833974808,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_esg,0.009580629749793425,0.0036665931634077436,2.612951402791892,0.008976406508442166,1593,0.05462771847011849,ln_mcap,"country_group, sector",no
correlation between themes,"resource use, innovation",0.3789459756606324,,,,2151,,,,
