outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating,0.01838888696965152,0.0028607125520647043,6.428079240740017,1.2922637694446637e-10,1892,0.21806097755226828,ln_mcap,country_group,no
ln_scope12,rating,0.01845253022196166,0.002987446403093597,6.176689966003564,6.54594365417391e-10,1892,0.22114014968085638,ln_mcap,"country_group, sector",no
ln_scope12,rating,0.01845253022196166,0.002987446403093597,6.176689966003564,6.54594365417391e-10,1892,0.22114014968085638,ln_mcap,"country_group, business_sector",no
ln_scope12,rating,0.023750605277654033,0.009417526714145212,2.5219578344259332,0.011670369637143862,269,0.2443418332876589,ln_mcap | carbon intensive,"country_group, sector",no
ln_scope12,rating,0.017409705825242604,0.0029435628375061463,5.914501162812785,3.328828864348349e-09,1623,0.2250143995292201,ln_mcap | other sectors,"country_group, sector",no
ln_scope12,rating_x_intensive,0.003541101705894889,0.0068448707810768086,0.5173365311270078,0.6049212569699675,1892,0.21816505462916413,interaction with carbon-intensive sector,country_group,no
ln_scope12,rating_x_intensive,0.004242567871947905,0.00673355995512526,0.6300631315710894,0.5286532802151896,1892,0.22126804427528834,interaction with carbon-intensive sector | sector effects,"country_group, sector",no
ln_scope12,rating_x_sector_intensity,0.0156748741557249,0.007918211880174194,1.9795977163697807,0.04774874980577137,1889,0.21813047725121848,interaction with sector carbon intensity,country_group,no
ln_scope12,rating_x_sector_intensity,-0.0014628779830084936,0.005318947886928116,-0.27503145624037284,0.7832920712796296,1889,0.22040546891472346,interaction with sector carbon intensity | sector effects,"country_group, sector",no
ln_scope12_per_revenue,rating,0.00970011247823581,0.003416988852504135,2.8387896176854945,0.004528500313778268,1593,0.054770227609281075,ln_mcap,country_group,no
ln_scope12_per_revenue,rating,0.009694242706118723,0.0035293895371861328,2.746719398348879,0.00601946102306948,1593,0.05701876019307062,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating,0.009694242706118723,0.0035293895371861328,2.746719398348879,0.00601946102306948,1593,0.05701876019307062,ln_mcap,"country_group, business_sector",no
ln_scope12_per_revenue,rating,0.010633403826482426,0.008846509721410156,1.2019885990457526,0.22936794530829874,236,0.11579954129213865,ln_mcap | carbon intensive,"country_group, sector",no
ln_scope12_per_revenue,rating,0.009302658387319439,0.003834096153152153,2.4262976241927,0.015253755112808819,1357,0.058378125267879444,ln_mcap | other sectors,"country_group, sector",no
ln_scope12_per_revenue,rating_x_intensive,-0.00022275354704791425,0.007657007652007546,-0.02909146198770114,0.9767916452643357,1593,0.05482205843825094,interaction with carbon-intensive sector,country_group,no
ln_scope12_per_revenue,rating_x_intensive,3.712712397127374e-05,0.007576684719929483,0.004900180665247384,0.9960902371487821,1593,0.05701878001731664,interaction with carbon-intensive sector | sector effects,"country_group, sector",no
ln_scope12_per_revenue,rating_x_sector_intensity,0.004083665921553712,0.007189616295497147,0.5679949741005386,0.5700383806334062,1590,0.05607494491479925,interaction with sector carbon intensity,country_group,no
ln_scope12_per_revenue,rating_x_sector_intensity,-0.009660298189492912,0.004075690740810184,-2.3702235532160607,0.017777332707519748,1590,0.060078981723376,interaction with sector carbon intensity | sector effects,"country_group, sector",no
