outcome,predictor,coef,se,p,n,r2,controls,fixed_effects,weighted,t
discloses_scope12,rating,0.02483552990209182,0.004751043352220212,1.7192482228937167e-07,2039,0.14382280409868675,"sector, country","sector, country",logit,
discloses_scope12,ln_mcap,0.0015284571448949793,0.10715304101278812,0.9886191657148197,2039,0.14382280409868675,"sector, country","sector, country",logit,
discloses_scope12,ln_assets,0.24927474451094095,0.09242440319505058,0.006995333802916847,2039,0.14382280409868675,"sector, country","sector, country",logit,
discloses_scope12,roa,0.22631883769664873,0.7359913704247448,0.7584612809823601,2039,0.14382280409868675,"sector, country","sector, country",logit,
discloses_scope12,leverage,-0.602405367837719,0.49957018186828583,0.2278763638185115,2039,0.14382280409868675,"sector, country","sector, country",logit,
discloses_scope12,firm_age,-0.0005649236582198953,0.0032839072990185343,0.8634155992957502,2039,0.14382280409868675,"sector, country","sector, country",logit,
discloses_scope12,free_float,0.005032144362187395,0.003544108987910167,0.15564796861580765,2039,0.14382280409868675,"sector, country","sector, country",logit,
discloses_scope12,propensity overlap,0.37184153668332215,0.98,,2039,386.1485325965451,min and max propensity; r2 column is effective sample size,,diagnostic,
ln_scope12,rating,0.018753711755593778,0.0031349079144553553,2.201154244411087e-09,1797,0.23264367947224218,ln_mcap,"country_group, sector",ipw,5.9822209351409175
ln_scope12_per_revenue,rating,0.009879387208140678,0.004131929602168082,0.01680317835363937,1514,0.06313874122643526,ln_mcap,"country_group, sector",ipw,2.390986333106165
ln_scope12,rating,0.01892613177537846,0.0031299516266073716,1.4776847280292304e-09,1797,0.22287760787975797,ln_mcap,"country_group, sector",entropy balanced,6.046780919707996
discloses_scope12,balance: ln_mcap,21.341933621991135,21.444652667178605,,1858,,population mean | discloser mean | reweighted mean,,entropy balanced,21.341933431869855
discloses_scope12,balance: ln_assets,21.85779262923374,21.98651673469031,,1858,,population mean | discloser mean | reweighted mean,,entropy balanced,21.857792838102608
discloses_scope12,balance: roa,0.03238128865173106,0.032972442745073285,,1858,,population mean | discloser mean | reweighted mean,,entropy balanced,0.0323811035034459
discloses_scope12,balance: leverage,0.25562493625748856,0.2558248521325785,,1858,,population mean | discloser mean | reweighted mean,,entropy balanced,0.255625087187153
discloses_scope12,balance: firm_age,42.737126042177536,43.018837459634014,,1858,,population mean | discloser mean | reweighted mean,,entropy balanced,42.73712332602293
discloses_scope3,rating,0.04022782383086142,0.004105072071313211,1.1309791993708357e-22,2039,0.19500957671122154,"sector, country","sector, country",logit,
discloses_scope3,ln_mcap,0.3676327743750621,0.09008285041986056,4.483237085008512e-05,2039,0.19500957671122154,"sector, country","sector, country",logit,
discloses_scope3,ln_assets,-0.09071413465392512,0.07649421647535623,0.23566363474050367,2039,0.19500957671122154,"sector, country","sector, country",logit,
discloses_scope3,roa,1.3168408870625707,0.6114435016495001,0.03126691254692646,2039,0.19500957671122154,"sector, country","sector, country",logit,
discloses_scope3,leverage,-0.2544423343757671,0.40854951733544775,0.5334196663709919,2039,0.19500957671122154,"sector, country","sector, country",logit,
discloses_scope3,firm_age,-0.0006066871013749773,0.002656211414358753,0.8193328269916361,2039,0.19500957671122154,"sector, country","sector, country",logit,
discloses_scope3,free_float,-0.004491149933737167,0.0029774577868412052,0.1314562543484626,2039,0.19500957671122154,"sector, country","sector, country",logit,
discloses_scope3,propensity overlap,0.1731587391303517,0.98,,2039,474.4249760196261,min and max propensity; r2 column is effective sample size,,diagnostic,
ln_scope3,rating,0.016055527696428585,0.0032805803761713987,9.8750605641906e-07,1729,0.23538514068718253,ln_mcap,"country_group, sector",ipw,4.894111972701059
ln_scope3_per_revenue,rating,0.008147287464893857,0.003442859081368497,0.01796053584265319,1449,0.06402826893848823,ln_mcap,"country_group, sector",ipw,2.3664307113189786
ln_scope3,rating,0.01625705487803297,0.003148454252153813,2.423699128028244e-07,1729,0.2190004206432833,ln_mcap,"country_group, sector",entropy balanced,5.163503604002424
discloses_scope3,balance: ln_mcap,21.341933621991135,21.545683086833666,,1730,,population mean | discloser mean | reweighted mean,,entropy balanced,21.341937448885943
discloses_scope3,balance: ln_assets,21.85779262923374,22.066148881333305,,1730,,population mean | discloser mean | reweighted mean,,entropy balanced,21.857796167915534
discloses_scope3,balance: roa,0.03238128865173106,0.0368763809528686,,1730,,population mean | discloser mean | reweighted mean,,entropy balanced,0.03238100694517237
discloses_scope3,balance: leverage,0.25562493625748856,0.256089097142441,,1730,,population mean | discloser mean | reweighted mean,,entropy balanced,0.25562366706385353
discloses_scope3,balance: firm_age,42.737126042177536,42.958959537572255,,1730,,population mean | discloser mean | reweighted mean,,entropy balanced,42.737087382348705
