outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating_base,0.019072564928331943,0.003079220117029109,6.193959575301008,5.867128042681043e-10,1379,0.2330900782395554,ln_mcap,"country_group, sector",no
ln_scope3,rating_base,0.016953751325810753,0.003788841887615617,4.4746526323060785,7.653563753718183e-06,1338,0.2262682894762491,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_base,0.01127383849525488,0.0040553031771009135,2.780023589583852,0.005435494983381778,1170,0.0649056472962769,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating_base,0.007386688766142438,0.003212454288893826,2.2993910891370115,0.021482741491128127,1379,0.03660773215876556,ln_mcap,"country_group, sector",no
ln_scope12_per_employees,rating_base,0.011063780629039706,0.0032557255041690417,3.3982535121195707,0.000678175445209394,1379,0.03150320418873209,ln_mcap,"country_group, sector",no
ln_scope12_per_energy,rating_base,0.002458793430018235,0.003133974873091796,0.7845606712195919,0.43271119657860935,1149,0.06941984118732869,ln_mcap,"country_group, sector",no
ln_scope12,rating_resource_use,0.012223416367765631,0.0024624390622324053,4.963946745014713,6.907489128028432e-07,1379,0.22870188331405517,ln_mcap,"country_group, sector",no
ln_scope3,rating_resource_use,0.00978258781123159,0.00392506536809762,2.492337552068072,0.012690536724790997,1338,0.22176093522556695,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_resource_use,0.010023991140281609,0.0026789808826698023,3.7417180559690895,0.0001827664965084282,1170,0.06832310667444785,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating_resource_use,0.005471623367688137,0.002660248779617053,2.056808900585526,0.0397046115921321,1379,0.036429195527892255,ln_mcap,"country_group, sector",no
ln_scope12_per_employees,rating_resource_use,0.007354860277748566,0.0024318829605728875,3.0243479628706944,0.0024916967431509495,1379,0.029467983217322358,ln_mcap,"country_group, sector",no
ln_scope12_per_energy,rating_resource_use,0.0009914745354251836,0.0020101995652869686,0.49322194300825273,0.6218557749606951,1149,0.06869354734651967,ln_mcap,"country_group, sector",no
ln_scope12,rating_innovation,0.011366732198588221,0.003506916678413412,3.2412324674137176,0.0011901408677769836,1379,0.226351163500497,ln_mcap,"country_group, sector",no
ln_scope3,rating_innovation,0.01083054757164876,0.0024209532738487206,4.4736706357123746,7.688814664491951e-06,1338,0.22243023605264733,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_innovation,0.0033779167307487253,0.0035259331601548666,0.9580206366136447,0.33805235254803734,1170,0.05673547524730094,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating_innovation,0.003575211461298186,0.004056520384950039,0.8813493146891259,0.37812878210221423,1379,0.034811173104196014,ln_mcap,"country_group, sector",no
ln_scope12_per_employees,rating_innovation,0.006297466117916262,0.0029249636406374546,2.1530066324324695,0.031318157290506334,1379,0.02730979715441173,ln_mcap,"country_group, sector",no
ln_scope12_per_energy,rating_innovation,0.0020487102558449446,0.002313758879350734,0.8854467395582011,0.37591573321391314,1149,0.06951490060251941,ln_mcap,"country_group, sector",no
ln_scope12,rating_change,-1.5738900034714475e-15,2.538335097083849e-16,-6.200481588422276,5.629064531571672e-10,1379,0.2330900782395554,change in rating over the window,"country_group, sector",no
ln_scope3,rating_change,-8.79697266130688e-15,9.677026948404582e-16,-9.090573693976545,9.851783286325657e-20,1338,0.226268289476249,change in rating over the window,"country_group, sector",no
ln_scope12_per_revenue,rating_change,1.416780771469016e-15,3.437965525724001e-16,4.120985975188498,3.772543933010959e-05,1170,0.0649056472962769,change in rating over the window,"country_group, sector",no
ln_scope12_per_assets,rating_change,-7.456641274095524e-16,2.3357203214548166e-16,-3.1924375558162343,0.0014107744461862464,1379,0.03660773215876567,change in rating over the window,"country_group, sector",no
ln_scope12_per_employees,rating_change,-7.379077079530616e-16,1.8396908562050978e-16,-4.0110418849132765,6.045138352274046e-05,1379,0.03150320418873209,change in rating over the window,"country_group, sector",no
ln_scope12_per_energy,rating_change,9.655146648859549e-17,1.5220811963452674e-17,6.343384749803706,2.2477113776999738e-10,1149,0.06941984118732869,change in rating over the window,"country_group, sector",no
ln_scope12,rating_base,0.024046765379378526,0.004552215133584458,5.282431667600884,1.274803902529857e-07,1006,0.2574257426210155,ln_mcap | dated observations only,"country_group, sector",no
ln_scope3,rating_base,0.022406516791425923,0.004401240750084076,5.090954588430068,3.5626535145135916e-07,969,0.24869561445305144,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_revenue,rating_base,0.012246920290335452,0.004215056157686729,2.9055177041951206,0.003666461064984373,1006,0.06822911054568703,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_assets,rating_base,0.011289209996348908,0.004643414757360965,2.4312301584631673,0.015047652373405673,1006,0.037359497464194535,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_employees,rating_base,0.014257896639597421,0.0036923950494391878,3.861422314972217,0.000112728856643969,1006,0.035733593492145777,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_energy,rating_base,0.0040240276244526375,0.002842259934302143,1.4157845226920291,0.15683860244550402,835,0.07011939606786888,ln_mcap | dated observations only,"country_group, sector",no
