outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating,0.022362986977682277,0.003914256338530528,5.71321473188894,1.1086164359914762e-08,739,0.25599596145824577,ln_mcap | firm-reported emissions only,"country_group, sector",no
ln_scope12_per_revenue,rating,0.014297865675142943,0.004291386407568228,3.3317590907049133,0.0008629892698337877,618,0.08397711158882037,ln_mcap | firm-reported emissions only,"country_group, sector",no
ln_scope12,rating,0.020650826749351547,0.00410939235401433,5.0252750213005175,5.027115903119823e-07,1593,0.23221345478698185,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_revenue,rating,0.009694242706118723,0.0035293895371861328,2.746719398348879,0.00601946102306948,1593,0.05701876019307062,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12,rating,0.0184469222072769,0.00293767568315261,6.279427750676792,3.3982146498488625e-10,1892,0.22114533545677806,ln_mcap | country cutoff 10,"country_group_10, sector",no
ln_scope12_per_revenue,rating,0.00967689527351291,0.003535575037368158,2.737007465896207,0.00620008859188511,1593,0.05795599853068145,ln_mcap | country cutoff 10,"country_group_10, sector",no
ln_scope12,rating,0.01845253022196166,0.002987446403093597,6.176689966003564,6.54594365417391e-10,1892,0.22114014968085638,ln_mcap | country cutoff 50,"country_group_50, sector",no
ln_scope12_per_revenue,rating,0.009694242706118723,0.0035293895371861328,2.746719398348879,0.00601946102306948,1593,0.05701876019307062,ln_mcap | country cutoff 50,"country_group_50, sector",no
ln_scope12,rating,0.016839312398727376,0.003186840887412899,5.28401416752176,1.2638347092455445e-07,1892,0.2409732263548623,"ln_mcap, roa_w","country_group, sector",no
ln_scope12,rating,0.016105385143587985,0.0030222227200027447,5.328986853613938,9.87621444187891e-08,1892,0.2369365390008653,"ln_mcap, leverage_w","country_group, sector",no
ln_scope12,rating,0.018132105589652357,0.002993808874882306,6.056534116716176,1.3908565290810718e-09,8649,0.22236213363824897,ln_mcap | pooled firm-years,"country_group, sector, year",no
ln_scope12_per_revenue,rating,0.008555193971996587,0.0031651846239889618,2.7029051977431893,0.006873634795592918,7445,0.06390730968486358,ln_mcap | pooled firm-years,"country_group, sector, year",no
